show_id,type,title,country,date_added_year,release_year,rating,listed_in
s155,Movie,Title_155,Canada,2014,2015,PG-13,Kids TV
s156,TV Show,Title_156,France,2015,2011,TV-MA,Crime TV Shows
s157,Movie,Title_157,United States,2018,2019,TV-14,International Movies
s158,Movie,Title_158,France,2017,2010,TV-MA,Stand-Up Comedy
s159,Movie,Title_159,United Kingdom,2020,2016,PG,Anime Series
s160,Movie,Title_160,United Kingdom,2016,2018,TV-14,Documentaries
s161,TV Show,Title_161,India,2015,2017,TV-MA,Anime Series
s162,Movie,Title_162,United States,2021,2015,TV-PG,Horror Movies
s163,Movie,Title_163,United States,2021,2015,TV-MA,Crime TV Shows
s164,TV Show,Title_164,Turkey,2010,2020,NR,Anime Series
s165,TV Show,Title_165,India,2019,2021,TV-14,International TV Shows
s166,Movie,Title_166,India,2013,2016,TV-PG,Kids TV
s167,Movie,Title_167,United States,2010,2010,TV-MA,Documentaries
s168,Movie,Title_168,United States,2015,2010,PG-13,Dramas
s169,Movie,Title_169,South Korea,2015,2019,PG,Stand-Up Comedy
s170,TV Show,Title_170,United Kingdom,2020,2018,R,Sci-Fi & Fantasy
s171,Movie,Title_171,United Kingdom,2019,2019,PG-13,Comedies
s172,Movie,Title_172,United States,2021,2019,TV-MA,Romantic Movies
s173,TV Show,Title_173,South Korea,2019,2020,NR,Crime TV Shows
s174,TV Show,Title_174,United States,2017,2020,TV-PG,Romantic Movies
s175,Movie,Title_175,United States,2019,2019,PG-13,International TV Shows
s176,TV Show,Title_176,India,2021,2017,TV-PG,International Movies
s177,TV Show,Title_177,United States,2019,2016,TV-MA,Anime Series
s178,Movie,Title_178,United States,2019,2017,TV-PG,Thrillers
s179,Movie,Title_179,France,2021,2017,TV-MA,Action & Adventure
s180,Movie,Title_180,France,2013,2018,TV-PG,Action & Adventure
s181,Movie,Title_181,Mexico,2019,2014,TV-14,Reality TV
s182,Movie,Title_182,India,2020,2018,TV-MA,Anime Series
s183,TV Show,Title_183,United States,2021,2017,G,Horror Movies
s184,Movie,Title_184,United States,2014,2018,PG,Romantic Movies
s185,Movie,Title_185,Nigeria,2017,2015,PG,Reality TV
s186,TV Show,Title_186,Canada,2019,2017,R,Kids TV
s187,Movie,Title_187,Japan,2015,2014,TV-PG,Stand-Up Comedy
s188,Movie,Title_188,United States,2018,2020,TV-PG,Comedies
s189,TV Show,Title_189,United Kingdom,2015,2017,TV-MA,Horror Movies
s190,Movie,Title_190,United States,2016,2015,PG,Anime Series
s191,Movie,Title_191,Canada,2017,2011,PG,Dramas
s192,TV Show,Title_192,Italy,2018,2019,R,International TV Shows
s193,Movie,Title_193,Turkey,2017,2014,NR,International TV Shows
s194,TV Show,Title_194,United Kingdom,2017,2021,TV-14,Kids TV
s195,Movie,Title_195,India,2015,2018,TV-14,Sci-Fi & Fantasy
s196,TV Show,Title_196,Turkey,2013,2015,TV-G,Reality TV
s197,Movie,Title_197,Japan,2011,2018,TV-14,Children & Family Movies
s198,TV Show,Title_198,United States,2014,2015,TV-PG,International TV Shows
s199,Movie,Title_199,India,2018,2020,TV-14,Children & Family Movies
s200,Movie,Title_200,United States,2019,2016,TV-PG,Anime Series
s201,TV Show,Title_201,India,2014,2021,R,Kids TV
s202,Movie,Title_202,India,2012,2018,TV-PG,International Movies
s203,TV Show,Title_203,Canada,2019,2020,TV-14,Children & Family Movies
s204,Movie,Title_204,India,2016,2012,TV-MA,Children & Family Movies
s205,Movie,Title_205,United States,2021,2016,TV-PG,International TV Shows
s206,Movie,Title_206,United Kingdom,2019,2019,PG,Horror Movies
s207,Movie,Title_207,Mexico,2016,2018,TV-MA,Thrillers
s208,TV Show,Title_208,France,2015,2014,TV-MA,Romantic Movies
s209,TV Show,Title_209,United States,2018,2016,TV-MA,Crime TV Shows
s210,Movie,Title_210,Italy,2012,2015,NR,Romantic Movies
s211,TV Show,Title_211,Italy,2013,2018,TV-PG,Horror Movies
s212,Movie,Title_212,United States,2014,2016,TV-G,Comedies
s213,Movie,Title_213,United States,2019,2016,TV-14,Stand-Up Comedy
s214,TV Show,Title_214,South Korea,2017,2014,TV-14,Action & Adventure
s215,Movie,Title_215,Mexico,2009,2017,R,Reality TV
s216,Movie,Title_216,Turkey,2019,2014,TV-MA,Sci-Fi & Fantasy
s217,Movie,Title_217,Brazil,2017,2021,TV-14,Sci-Fi & Fantasy
s218,Movie,Title_218,Canada,2017,2013,TV-14,Crime TV Shows
s219,Movie,Title_219,United Kingdom,2014,2021,TV-MA,Dramas
s220,Movie,Title_220,United States,2018,2017,TV-14,Children & Family Movies
s221,Movie,Title_221,United States,2021,2016,TV-MA,Anime Series
s222,TV Show,Title_222,India,2012,2015,TV-MA,Comedies
s223,Movie,Title_223,France,2015,2018,TV-MA,Action & Adventure
s224,Movie,Title_224,Canada,2015,2019,R,Comedies
s225,Movie,Title_225,South Korea,2015,2017,TV-MA,Thrillers
s226,TV Show,Title_226,United States,2016,2011,TV-MA,Romantic Movies
s227,Movie,Title_227,Canada,2020,2021,TV-MA,Anime Series
s228,Movie,Title_228,United States,2021,2021,TV-14,Dramas
s229,TV Show,Title_229,India,2014,2017,TV-PG,Anime Series
s230,Movie,Title_230,South Korea,2018,2018,PG-13,Romantic Movies
s231,TV Show,Title_231,Japan,2018,2017,PG-13,International TV Shows
s232,TV Show,Title_232,Nigeria,2018,2016,TV-MA,Sci-Fi & Fantasy
s233,Movie,Title_233,United States,2017,2012,TV-MA,Anime Series
s234,TV Show,Title_234,United Kingdom,2014,2017,TV-MA,International TV Shows
s235,Movie,Title_235,United States,2017,2020,TV-G,Children & Family Movies
s236,Movie,Title_236,India,2017,2009,TV-PG,Romantic Movies
s237,Movie,Title_237,Australia,2020,2018,TV-MA,Reality TV
s238,Movie,Title_238,Japan,2019,2020,TV-MA,Stand-Up Comedy
s239,Movie,Title_239,Brazil,2013,2014,TV-14,Comedies
s240,Movie,Title_240,United States,2012,2014,TV-MA,Horror Movies
s241,Movie,Title_241,Australia,2020,2019,PG-13,International Movies
s242,Movie,Title_242,United States,2018,2015,TV-14,International TV Shows
s243,Movie,Title_243,Brazil,2020,2014,TV-PG,Romantic Movies
s244,Movie,Title_244,United States,2011,2016,TV-14,Crime TV Shows
s245,Movie,Title_245,United States,2018,2016,TV-MA,Romantic Movies
s246,Movie,Title_246,United Kingdom,2018,2020,TV-14,Horror Movies
s247,Movie,Title_247,Turkey,2020,2018,TV-PG,Kids TV
s248,Movie,Title_248,United States,2012,2017,TV-14,Documentaries
s249,Movie,Title_249,United States,2015,2018,TV-14,Thrillers
s250,Movie,Title_250,Australia,2017,2021,PG-13,Reality TV
s251,TV Show,Title_251,India,2020,2013,TV-MA,International Movies
s252,Movie,Title_252,United States,2021,2014,TV-14,Documentaries
s253,TV Show,Title_253,India,2021,2021,TV-MA,Thrillers
s254,Movie,Title_254,India,2021,2021,TV-PG,Documentaries
s255,TV Show,Title_255,Italy,2008,2014,TV-MA,Reality TV
s256,TV Show,Title_256,Spain,2011,2013,TV-PG,Action & Adventure
s257,Movie,Title_257,United Kingdom,2013,2017,TV-MA,Stand-Up Comedy
s258,Movie,Title_258,Nigeria,2016,2011,TV-MA,International Movies
s259,TV Show,Title_259,India,2020,2018,R,International TV Shows
s260,Movie,Title_260,United States,2020,2012,TV-PG,Dramas
s261,Movie,Title_261,United States,2014,2011,PG,International Movies
s262,TV Show,Title_262,India,2018,2017,TV-14,Anime Series
s263,Movie,Title_263,United States,2021,2021,TV-14,Crime TV Shows
s264,Movie,Title_264,Turkey,2017,2017,TV-PG,Action & Adventure
s265,Movie,Title_265,Spain,2012,2016,TV-MA,Dramas
s266,Movie,Title_266,United States,2017,2021,TV-MA,Horror Movies
s267,Movie,Title_267,Canada,2016,2018,TV-MA,Anime Series
s268,TV Show,Title_268,South Korea,2018,2016,TV-MA,Dramas
s269,Movie,Title_269,Turkey,2017,2016,TV-MA,Documentaries
s270,Movie,Title_270,Brazil,2009,2014,NR,Stand-Up Comedy
s271,Movie,Title_271,United Kingdom,2021,2017,PG-13,Horror Movies
s272,Movie,Title_272,Spain,2018,2017,NR,Horror Movies
s273,Movie,Title_273,Canada,2017,2015,TV-Y7,Stand-Up Comedy
s274,TV Show,Title_274,United Kingdom,2021,2014,TV-14,Thrillers
s275,Movie,Title_275,United States,2013,2016,TV-MA,Thrillers
s276,TV Show,Title_276,United States,2014,2017,TV-14,Anime Series
s277,Movie,Title_277,United Kingdom,2020,2011,PG,Kids TV
s278,TV Show,Title_278,United States,2015,2013,TV-14,Horror Movies
s279,TV Show,Title_279,United States,2020,2021,TV-14,International Movies
s280,Movie,Title_280,South Korea,2015,2018,TV-MA,Sci-Fi & Fantasy
s281,Movie,Title_281,United States,2010,2011,TV-14,Comedies
s282,Movie,Title_282,Canada,2017,2019,TV-14,Sci-Fi & Fantasy
s283,Movie,Title_283,United Kingdom,2014,2011,TV-MA,Thrillers
s284,Movie,Title_284,Turkey,2019,2019,PG,Stand-Up Comedy
s285,Movie,Title_285,United Kingdom,2018,2019,TV-MA,Children & Family Movies
s286,TV Show,Title_286,United States,2021,2018,G,Stand-Up Comedy
s287,TV Show,Title_287,United Kingdom,2019,2019,TV-MA,Documentaries
s288,TV Show,Title_288,Mexico,2014,2012,NR,Horror Movies
s289,Movie,Title_289,Nigeria,2020,2019,TV-14,Thrillers
s290,Movie,Title_290,India,2018,2013,TV-PG,Kids TV
s291,TV Show,Title_291,United States,2019,2016,TV-MA,Reality TV
s292,Movie,Title_292,Brazil,2020,2021,TV-PG,Sci-Fi & Fantasy
s293,TV Show,Title_293,United States,2018,2017,PG,Romantic Movies
s294,TV Show,Title_294,Canada,2017,2021,TV-MA,Sci-Fi & Fantasy
s295,TV Show,Title_295,India,2018,2012,TV-MA,Anime Series
s296,Movie,Title_296,United States,2015,2017,TV-MA,International Movies
s297,Movie,Title_297,United States,2014,2011,TV-MA,Thrillers
s298,TV Show,Title_298,United States,2018,2018,TV-MA,Crime TV Shows
s299,TV Show,Title_299,Japan,2015,2012,TV-PG,Action & Adventure
s300,Movie,Title_300,Turkey,2012,2014,TV-MA,Documentaries
s301,Movie,Title_301,United States,2008,2015,TV-PG,Documentaries
s302,TV Show,Title_302,Germany,2018,2019,PG-13,Dramas
s303,Movie,Title_303,United States,2016,2014,TV-PG,Romantic Movies
s304,Movie,Title_304,United Kingdom,2019,2020,TV-MA,Documentaries
s305,Movie,Title_305,United States,2016,2013,TV-14,Romantic Movies
s306,TV Show,Title_306,Italy,2017,2010,TV-14,Crime TV Shows
s307,Movie,Title_307,Spain,2017,2016,TV-MA,Horror Movies
s308,Movie,Title_308,France,2018,2021,TV-MA,International TV Shows
s309,TV Show,Title_309,Mexico,2016,2013,NR,Stand-Up Comedy
s310,Movie,Title_310,France,2021,2012,R,Stand-Up Comedy
s311,Movie,Title_311,Turkey,2021,2019,TV-MA,Comedies
s312,Movie,Title_312,Japan,2020,2016,TV-14,Sci-Fi & Fantasy
s313,Movie,Title_313,Italy,2021,2019,TV-MA,Horror Movies
s314,TV Show,Title_314,United Kingdom,2017,2014,G,Horror Movies
s315,TV Show,Title_315,United States,2018,2017,G,Romantic Movies
s316,Movie,Title_316,United Kingdom,2019,2015,TV-MA,International TV Shows
s317,Movie,Title_317,United States,2019,2017,TV-MA,Children & Family Movies
s318,TV Show,Title_318,Canada,2020,2019,TV-14,Thrillers
s319,Movie,Title_319,United Kingdom,2019,2019,TV-14,Horror Movies
s320,Movie,Title_320,France,2021,2017,TV-MA,Crime TV Shows
s321,Movie,Title_321,United States,2016,2021,TV-PG,Thrillers
s322,TV Show,Title_322,United States,2020,2015,TV-MA,Comedies
s323,Movie,Title_323,United Kingdom,2019,2015,TV-PG,International TV Shows
s324,Movie,Title_324,Turkey,2019,2018,TV-14,Thrillers
s325,TV Show,Title_325,India,2016,2018,TV-PG,Crime TV Shows
s326,Movie,Title_326,India,2019,2011,TV-PG,Sci-Fi & Fantasy
s327,Movie,Title_327,Japan,2020,2018,TV-14,International Movies
s328,TV Show,Title_328,Canada,2014,2016,TV-PG,International Movies
s329,Movie,Title_329,United States,2018,2019,TV-14,Kids TV
s330,Movie,Title_330,India,2016,2020,TV-MA,Children & Family Movies
s331,Movie,Title_331,United States,2021,2018,TV-MA,Stand-Up Comedy
s332,TV Show,Title_332,Turkey,2017,2008,TV-MA,Children & Family Movies
s333,TV Show,Title_333,United States,2015,2018,TV-MA,Documentaries
s334,Movie,Title_334,India,2016,2019,TV-PG,Action & Adventure
s335,Movie,Title_335,United States,2018,2015,TV-14,Stand-Up Comedy
s336,Movie,Title_336,United States,2012,2017,TV-MA,Kids TV
s337,Movie,Title_337,Spain,2018,2021,PG-13,Horror Movies
s338,Movie,Title_338,United States,2021,2015,TV-PG,Children & Family Movies
s339,TV Show,Title_339,United States,2020,2015,TV-14,Dramas
s340,Movie,Title_340,India,2011,2014,TV-MA,Action & Adventure
s341,TV Show,Title_341,United States,2021,2018,TV-MA,Anime Series
s342,Movie,Title_342,United States,2019,2021,TV-14,Action & Adventure
s343,Movie,Title_343,Germany,2014,2018,PG,Romantic Movies
s344,Movie,Title_344,Spain,2009,2016,TV-MA,Comedies
s345,TV Show,Title_345,Italy,2014,2018,TV-14,Action & Adventure
s346,Movie,Title_346,Australia,2020,2018,TV-G,Horror Movies
s347,TV Show,Title_347,Japan,2010,2018,TV-PG,Anime Series
s348,Movie,Title_348,United States,2015,2013,TV-14,Dramas
s349,Movie,Title_349,Spain,2019,2018,TV-PG,International TV Shows
s350,Movie,Title_350,Mexico,2018,2017,PG-13,International Movies
s351,TV Show,Title_351,Germany,2019,2009,TV-14,Children & Family Movies
s352,Movie,Title_352,United Kingdom,2019,2018,PG,Reality TV
s353,Movie,Title_353,United States,2011,2021,TV-14,Horror Movies
s354,Movie,Title_354,Mexico,2020,2016,PG-13,Children & Family Movies
s355,TV Show,Title_355,South Korea,2015,2021,TV-G,Reality TV
s356,Movie,Title_356,Nigeria,2018,2012,TV-14,Dramas
s357,TV Show,Title_357,United States,2018,2019,TV-PG,Anime Series
s358,Movie,Title_358,United States,2014,2013,TV-PG,Children & Family Movies
s359,Movie,Title_359,United States,2021,2015,R,Thrillers
s360,Movie,Title_360,Germany,2017,2018,PG-13,Anime Series
s361,TV Show,Title_361,United States,2011,2018,TV-MA,Dramas
s362,Movie,Title_362,United States,2021,2019,R,Dramas
s363,TV Show,Title_363,Nigeria,2018,2018,R,Kids TV
s364,TV Show,Title_364,United States,2019,2018,TV-PG,International Movies
s365,TV Show,Title_365,Mexico,2018,2021,TV-PG,Thrillers
s366,Movie,Title_366,India,2020,2017,TV-MA,Kids TV
s367,Movie,Title_367,Mexico,2010,2015,TV-14,Anime Series
s368,TV Show,Title_368,United Kingdom,2015,2014,PG-13,Action & Adventure
s369,Movie,Title_369,Brazil,2017,2016,NR,Action & Adventure
s370,Movie,Title_370,Italy,2012,2019,TV-MA,Sci-Fi & Fantasy
s371,Movie,Title_371,United States,2019,2011,TV-14,Thrillers
s372,TV Show,Title_372,United States,2016,2013,PG-13,Horror Movies
s373,Movie,Title_373,United States,2015,2012,R,Dramas
s374,Movie,Title_374,Japan,2008,2018,TV-PG,Reality TV
s375,TV Show,Title_375,Brazil,2019,2015,TV-MA,International Movies
s376,Movie,Title_376,India,2020,2014,R,Stand-Up Comedy
s377,Movie,Title_377,Canada,2016,2018,R,Stand-Up Comedy
s378,Movie,Title_378,United States,2018,2019,R,Crime TV Shows
s379,Movie,Title_379,Germany,2015,2016,R,Crime TV Shows
s380,TV Show,Title_380,Turkey,2018,2018,TV-14,Thrillers
s381,Movie,Title_381,United States,2009,2012,TV-Y7,Sci-Fi & Fantasy
s382,TV Show,Title_382,United Kingdom,2017,2021,R,Thrillers
s383,Movie,Title_383,United States,2018,2016,TV-14,Kids TV
s384,Movie,Title_384,Canada,2021,2021,NR,Stand-Up Comedy
s385,Movie,Title_385,United Kingdom,2016,2021,PG,International Movies
s386,Movie,Title_386,United States,2019,2019,PG-13,International Movies
s387,Movie,Title_387,India,2018,2010,TV-14,Anime Series
s388,Movie,Title_388,United States,2021,2018,TV-14,Dramas
s389,Movie,Title_389,United Kingdom,2016,2012,TV-MA,International TV Shows
s390,Movie,Title_390,Canada,2016,2020,TV-MA,Thrillers
s391,Movie,Title_391,United States,2020,2019,TV-14,International TV Shows
s392,Movie,Title_392,Spain,2011,2021,TV-14,Thrillers
s393,Movie,Title_393,Japan,2013,2018,TV-MA,Reality TV
s394,Movie,Title_394,India,2012,2018,NR,Thrillers
s395,Movie,Title_395,United States,2020,2017,TV-14,Anime Series
s396,Movie,Title_396,South Korea,2009,2016,TV-14,Crime TV Shows
s397,Movie,Title_397,Turkey,2020,2017,TV-14,International Movies
s398,TV Show,Title_398,United States,2017,2018,TV-MA,Children & Family Movies
s399,TV Show,Title_399,United States,2008,2021,PG,Comedies
s400,Movie,Title_400,United States,2017,2018,TV-MA,Dramas
s401,TV Show,Title_401,Canada,2014,2020,TV-PG,Dramas
s402,Movie,Title_402,United States,2018,2020,TV-PG,Reality TV
s403,Movie,Title_403,India,2019,2017,TV-14,Sci-Fi & Fantasy
s404,Movie,Title_404,Japan,2017,2016,TV-14,International TV Shows
